date,open,high,low,close,volume
1982-04-20,0.0550,0.0550,0.0545,0.0545,80550400
1982-04-21,0.0545,0.0545,0.0541,0.0541,73024000
1982-04-22,0.0537,0.0537,0.0532,0.0532,52595200
1982-04-23,0.0532,0.0537,0.0532,0.0532,48294400
1982-04-26,0.0545,0.0550,0.0545,0.0545,57926400
1982-04-27,0.0532,0.0532,0.0528,0.0528,70268800
1982-04-28,0.0511,0.0511,0.0506,0.0506,99232000
1982-04-29,0.0506,0.0511,0.0506,0.0506,82230400
1982-04-30,0.0511,0.0515,0.0511,0.0511,277401600
1982-05-03,0.0528,0.0532,0.0528,0.0528,82700800
1982-05-04,0.0545,0.0550,0.0545,0.0545,73987200
1982-05-05,0.0545,0.0545,0.0537,0.0537,53939200
1982-05-06,0.0554,0.0559,0.0554,0.0554,75465600
1982-05-07,0.0563,0.0567,0.0563,0.0563,84716800
1982-05-10,0.0559,0.0559,0.0554,0.0554,31606400
1982-05-11,0.0541,0.0541,0.0537,0.0537,103017600
1982-05-12,0.0528,0.0528,0.0524,0.0524,71008000
1982-05-13,0.0528,0.0532,0.0528,0.0528,54454400
1982-05-14,0.0515,0.0515,0.0506,0.0506,95737600
1982-05-17,0.0502,0.0502,0.0498,0.0498,76204800
1982-05-18,0.0494,0.0494,0.0489,0.0489,122035200
1982-05-19,0.0489,0.0489,0.0485,0.0485,75286400
1982-05-20,0.0489,0.0494,0.0489,0.0489,27619200
1982-05-21,0.0494,0.0498,0.0494,0.0494,38841600
1982-05-24,0.0498,0.0502,0.0498,0.0498,31987200
1982-05-25,0.0498,0.0502,0.0498,0.0498,51564800
1982-05-26,0.0498,0.0498,0.0494,0.0494,43276800
1982-05-27,0.0489,0.0489,0.0485,0.0485,31248000
1982-05-28,0.0485,0.0489,0.0485,0.0485,19196800
1982-06-01,0.0481,0.0481,0.0476,0.0476,47600000
1982-06-02,0.0485,0.0489,0.0485,0.0485,32905600
1982-06-03,0.0476,0.0476,0.0468,0.0468,39760000
1982-06-04,0.0459,0.0459,0.0455,0.0455,37676800
1982-06-07,0.0455,0.0459,0.0455,0.0455,37161600
1982-06-08,0.0455,0.0455,0.0450,0.0450,31404800
1982-06-09,0.0446,0.0446,0.0442,0.0442,33846400
1982-06-10,0.0446,0.0450,0.0446,0.0446,34406400
1982-06-11,0.0463,0.0468,0.0463,0.0463,54633600
1982-06-14,0.0463,0.0468,0.0463,0.0463,29993600
1982-06-15,0.0463,0.0468,0.0463,0.0463,35212800
1982-06-16,0.0463,0.0468,0.0463,0.0463,41731200
1982-06-17,0.0459,0.0459,0.0455,0.0455,29164800
1982-06-18,0.0455,0.0455,0.0446,0.0446,19868800
1982-06-21,0.0446,0.0450,0.0446,0.0446,28537600
1982-06-22,0.0463,0.0472,0.0463,0.0463,17561600
1982-06-23,0.0476,0.0485,0.0476,0.0476,52752000
1982-06-24,0.0476,0.0481,0.0476,0.0476,44150400
1982-06-25,0.0463,0.0463,0.0459,0.0459,26678400
1982-06-28,0.0459,0.0459,0.0455,0.0455,25155200
1982-06-29,0.0446,0.0446,0.0442,0.0442,35817600
1982-06-30,0.0442,0.0446,0.0442,0.0442,67625600
1982-07-01,0.0442,0.0442,0.0437,0.0437,55731200
1982-07-02,0.0420,0.0420,0.0416,0.0416,58105600
1982-07-06,0.0403,0.0403,0.0398,0.0398,87696000
1982-07-07,0.0398,0.0403,0.0398,0.0398,30374400
1982-07-08,0.0385,0.0385,0.0381,0.0381,164326400
1982-07-09,0.0394,0.0398,0.0394,0.0394,128419200
1982-07-12,0.0403,0.0407,0.0403,0.0403,63392000
1982-07-13,0.0428,0.0433,0.0428,0.0428,114374400
1982-07-14,0.0433,0.0442,0.0433,0.0433,71120000
1982-07-15,0.0442,0.0446,0.0442,0.0442,65788800
1982-07-16,0.0459,0.0463,0.0459,0.0459,77011200
1982-07-19,0.0463,0.0468,0.0463,0.0463,83776000
1982-07-20,0.0494,0.0498,0.0494,0.0494,49705600
1982-07-21,0.0494,0.0498,0.0494,0.0494,71702400
1982-07-22,0.0498,0.0502,0.0498,0.0498,35212800
1982-07-23,0.0494,0.0494,0.0489,0.0489,18300800
1982-07-26,0.0472,0.0472,0.0468,0.0468,56851200
1982-07-27,0.0468,0.0472,0.0468,0.0468,32323200
1982-07-28,0.0450,0.0450,0.0446,0.0446,53513600
1982-07-29,0.0463,0.0468,0.0463,0.0463,61868800
1982-07-30,0.0468,0.0472,0.0468,0.0468,38617600
1982-08-02,0.0481,0.0485,0.0481,0.0481,94393600
1982-08-03,0.0455,0.0455,0.0450,0.0450,89868800
1982-08-04,0.0450,0.0450,0.0446,0.0446,83865600
1982-08-05,0.0433,0.0433,0.0428,0.0428,69753600
1982-08-06,0.0428,0.0428,0.0424,0.0424,96835200
1982-08-09,0.0428,0.0433,0.0428,0.0428,56112000
1982-08-10,0.0455,0.0459,0.0455,0.0455,112246400
1982-08-11,0.0459,0.0463,0.0459,0.0459,69888000
1982-08-12,0.0459,0.0459,0.0455,0.0455,30620800
1982-08-13,0.0455,0.0459,0.0455,0.0455,25961600
1982-08-16,0.0463,0.0468,0.0463,0.0463,38416000
1982-08-17,0.0494,0.0502,0.0494,0.0494,47734400
1982-08-18,0.0494,0.0498,0.0494,0.0494,125059200
1982-08-19,0.0498,0.0502,0.0498,0.0498,47622400
1982-08-20,0.0511,0.0515,0.0511,0.0511,54857600
1982-08-23,0.0532,0.0537,0.0532,0.0532,69686400
1982-08-24,0.0559,0.0563,0.0559,0.0559,155769600
1982-08-25,0.0597,0.0602,0.0597,0.0597,357078400
1982-08-26,0.0615,0.0619,0.0615,0.0615,210582400
1982-08-27,0.0589,0.0589,0.0585,0.0585,98649600
1982-08-30,0.0593,0.0597,0.0593,0.0593,80438400
1982-08-31,0.0623,0.0628,0.0623,0.0623,140560000
1982-09-01,0.0610,0.0610,0.0606,0.0606,82566400
1982-09-02,0.0632,0.0636,0.0632,0.0632,75420800
1982-09-03,0.0636,0.0641,0.0636,0.0636,104540800
1982-09-07,0.0606,0.0606,0.0602,0.0602,81379200
1982-09-08,0.0623,0.0628,0.0623,0.0623,72329600
1982-09-09,0.0615,0.0615,0.0610,0.0610,63593600
1982-09-10,0.0628,0.0632,0.0628,0.0628,56067200
1982-09-13,0.0632,0.0636,0.0632,0.0632,58889600
1982-09-14,0.0654,0.0658,0.0654,0.0654,101494400
